# Phase 3 tile aggregation sweep (2026-03-08)
# Fixed: masking=8, sqrt=0, hf=1, alpha=0.25, factor=1.15
# Images: 2 CLIC + 2 CID22, distances: 1.0, 2.0
# Score = ΔSS2 - 0.5 * max(0, ΔSz%)
# Baseline: e7 (no zensim), Mode: e7-zen4
norm	spatial_w	ratio_max	delta_ss2	delta_sz_pct	score
1	0.3	2.0	0.765	0.93	0.2987
1	0.3	3.0	0.766	0.93	0.3007
1	0.3	5.0	0.703	0.93	0.2373
1	0.3	10.0	0.698	0.93	0.2327
1	0.5	2.0	0.819	0.83	0.4010
1	0.5	3.0	0.836	0.83	0.4179
1	0.5	5.0	0.815	0.83	0.3963
1	0.5	10.0	0.815	0.80	0.4149
1	0.6	2.0	0.898	0.78	0.5072
1	0.6	3.0	0.870	0.78	0.4793
1	0.6	5.0	0.849	0.79	0.4540
1	0.6	10.0	0.948	0.80	0.5496
1	0.7	2.0	0.900	0.55	0.6262
1	0.7	3.0	0.944	0.64	0.6219
1	0.7	5.0	0.880	0.68	0.5403
1	0.7	10.0	0.880	0.68	0.5394
1	0.8	2.0	0.868	0.56	0.5871
1	0.8	3.0	0.836	0.57	0.5508
1	0.8	5.0	0.867	0.59	0.5726
1	0.8	10.0	0.842	0.60	0.5409
1	1.0	2.0	0.811	0.47	0.5747
1	1.0	3.0	0.801	0.45	0.5743
1	1.0	5.0	0.805	0.44	0.5831
1	1.0	10.0	0.793	0.41	0.5866
2	0.3	2.0	0.873	0.73	0.5075
2	0.3	3.0	0.846	0.72	0.4863
2	0.3	5.0	0.828	0.71	0.4704
2	0.3	10.0	0.828	0.71	0.4704
2	0.5	2.0	0.867	0.59	0.5709
2	0.5	3.0	0.849	0.59	0.5543
2	0.5	5.0	0.857	0.59	0.5617
2	0.5	10.0	0.857	0.59	0.5617
2	0.6	2.0	0.837	0.32	0.6759
2	0.6	3.0	0.922	0.50	0.6740
2	0.6	5.0	0.802	0.42	0.5934
2	0.6	10.0	0.800	0.43	0.5875
2	0.7	2.0	0.849	0.30	0.6976
2	0.7	3.0	0.887	0.17	0.8035
2	0.7	5.0	0.926	0.17	0.8404
2	0.7	10.0	0.921	0.18	0.8318
2	0.8	2.0	0.754	0.05	0.7271
2	0.8	3.0	0.883	0.13	0.8187
2	0.8	5.0	0.890	0.14	0.8218
2	0.8	10.0	0.892	0.15	0.8194
2	1.0	2.0	0.874	-0.12	0.8737
2	1.0	3.0	0.862	0.01	0.8588
2	1.0	5.0	0.844	0.00	0.8417
2	1.0	10.0	0.835	0.01	0.8303
3	0.3	2.0	0.902	0.68	0.5612
3	0.3	3.0	0.919	0.68	0.5779
3	0.3	5.0	0.907	0.69	0.5612
3	0.3	10.0	0.907	0.69	0.5612
3	0.5	2.0	0.935	0.54	0.6638
3	0.5	3.0	0.903	0.55	0.6275
3	0.5	5.0	0.929	0.54	0.6598
3	0.5	10.0	0.929	0.54	0.6598
3	0.6	2.0	0.941	0.45	0.7166
3	0.6	3.0	0.933	0.44	0.7110
3	0.6	5.0	0.923	0.51	0.6700
3	0.6	10.0	0.912	0.52	0.6510
3	0.7	2.0	0.989	0.36	0.8098
3	0.7	3.0	0.851	0.32	0.6923
3	0.7	5.0	0.878	0.31	0.7211
3	0.7	10.0	0.873	0.32	0.7105
3	0.8	2.0	0.905	0.32	0.7464
3	0.8	3.0	0.889	0.35	0.7131
3	0.8	5.0	0.905	0.30	0.7558
3	0.8	10.0	0.902	0.31	0.7462
3	1.0	2.0	0.862	0.14	0.7914
3	1.0	3.0	0.855	0.11	0.7987
3	1.0	5.0	0.844	0.08	0.8032
3	1.0	10.0	0.844	0.08	0.8032
4	0.3	2.0	0.861	0.70	0.5097
4	0.3	3.0	0.910	0.70	0.5584
4	0.3	5.0	0.893	0.70	0.5434
4	0.3	10.0	0.893	0.70	0.5434
4	0.5	2.0	0.797	0.53	0.5306
4	0.5	3.0	0.831	0.52	0.5692
4	0.5	5.0	0.827	0.46	0.5973
4	0.5	10.0	0.827	0.46	0.5973
4	0.6	2.0	0.929	0.48	0.6889
4	0.6	3.0	0.944	0.49	0.6985
4	0.6	5.0	0.911	0.48	0.6731
4	0.6	10.0	0.911	0.48	0.6731
4	0.7	2.0	0.960	0.40	0.7583
4	0.7	3.0	0.951	0.33	0.7856
4	0.7	5.0	0.961	0.38	0.7728
4	0.7	10.0	0.969	0.38	0.7806
4	0.8	2.0	0.942	0.32	0.7837
4	0.8	3.0	0.913	0.28	0.7711
4	0.8	5.0	0.953	0.31	0.7979
4	0.8	10.0	0.930	0.30	0.7815
4	1.0	2.0	0.882	0.07	0.8477
4	1.0	3.0	0.933	0.07	0.8998
4	1.0	5.0	0.902	0.06	0.8732
4	1.0	10.0	0.901	0.05	0.8762
6	0.3	2.0	0.889	0.72	0.5314
6	0.3	3.0	0.896	0.72	0.5382
6	0.3	5.0	0.891	0.73	0.5263
6	0.3	10.0	0.891	0.73	0.5263
6	0.5	2.0	0.827	0.46	0.5973
6	0.5	3.0	0.827	0.46	0.5973
6	0.5	5.0	0.827	0.46	0.5973
6	0.5	10.0	0.827	0.46	0.5973
6	0.6	2.0	0.929	0.48	0.6889
6	0.6	3.0	0.790	0.45	0.5641
6	0.6	5.0	0.802	0.42	0.5934
