feat_idx	best_transform	params_csv	r_identity	r_best
0	identity		-0.052715	-0.052715
1	log1p		-0.035858	-0.045506
2	log1p		-0.041000	-0.047319
3	identity		-0.037685	-0.037685
4	identity		-0.024659	-0.024659
5	identity		-0.029891	-0.029891
6	signed_cbrt		0.005571	0.010828
7	identity		-0.009850	-0.009850
8	signed_cbrt		-0.000963	0.005972
9	identity		0.148008	0.148008
10	signed_cbrt		0.168049	0.257306
11	signed_cbrt		0.033012	0.174293
12	signed_cbrt		0.023839	-0.048708
13	log1p		-0.438770	-0.448436
14	identity		-0.456727	-0.456727
15	log1p		-0.455831	-0.464143
16	identity		-0.273184	-0.273184
17	identity		-0.320908	-0.320908
18	identity		-0.321803	-0.321803
19	identity		-0.239008	-0.239008
20	identity		-0.301706	-0.301706
21	identity		-0.282594	-0.282594
22	signed_cbrt		-0.121275	-0.218486
23	signed_cbrt		-0.058561	0.104296
24	signed_cbrt		-0.086601	0.110994
25	signed_cbrt		-0.145869	-0.240314
26	signed_cbrt		-0.022662	-0.032260
27	signed_cbrt		-0.011258	-0.030586
28	signed_cbrt		-0.012330	-0.031193
29	signed_cbrt		-0.012700	-0.024315
30	identity		-0.004415	-0.004415
31	signed_cbrt		-0.005375	-0.016266
32	identity		-0.006440	-0.006440
33	signed_cbrt		0.001717	0.006991
34	identity		-0.007273	-0.007273
35	identity		0.152475	0.152475
36	signed_cbrt		0.183650	0.258439
37	signed_cbrt		0.035844	0.177115
38	identity		0.034782	0.034782
39	identity		0.018506	0.018506
40	signed_cbrt		0.015247	-0.042199
41	signed_cbrt		0.022720	-0.030411
42	identity		0.053739	0.053739
43	identity		0.058344	0.058344
44	identity		0.056930	0.056930
45	identity		-0.094608	-0.094608
46	identity		-0.134262	-0.134262
47	identity		-0.114132	-0.114132
48	identity		0.152392	0.152392
49	signed_cbrt		0.053860	0.163264
50	signed_cbrt		-0.029696	0.119678
51	log1p		0.012940	0.045100
52	log1p		-0.408265	-0.415568
53	log1p		-0.403394	-0.410134
54	log1p		-0.414003	-0.420949
55	identity		-0.391846	-0.391846
56	identity		-0.404748	-0.404748
57	identity		-0.430574	-0.430574
58	identity		-0.194300	-0.194300
59	identity		-0.293375	-0.293375
60	identity		-0.258176	-0.258176
61	signed_cbrt		-0.059699	-0.199373
62	signed_cbrt		-0.001410	0.038300
63	signed_cbrt		-0.030289	0.045959
64	signed_cbrt		-0.145727	-0.194499
65	identity		0.055402	0.055402
66	identity		0.043182	0.043182
67	identity		0.054268	0.054268
68	identity		0.084252	0.084252
69	identity		0.084701	0.084701
70	identity		0.085405	0.085405
71	identity		-0.087180	-0.087180
72	identity		-0.100317	-0.100317
73	identity		-0.098015	-0.098015
74	identity		0.155551	0.155551
75	signed_cbrt		0.087471	0.195444
76	signed_cbrt		-0.038575	0.126485
77	log1p		0.015998	0.046480
78	identity		0.059203	0.059203
79	identity		0.047630	0.047630
80	identity		0.057937	0.057937
81	identity		0.090571	0.090571
82	identity		0.075122	0.075122
83	identity		0.081939	0.081939
84	identity		-0.172040	-0.172040
85	identity		-0.201063	-0.201063
86	identity		-0.186381	-0.186381
87	identity		0.153470	0.153470
88	signed_cbrt		-0.029160	0.106774
89	signed_cbrt		-0.078238	0.096750
90	log1p		-0.001320	0.059303
91	signed_cbrt		-0.297584	-0.336206
92	signed_cbrt		-0.304622	-0.344591
93	signed_cbrt		-0.308991	-0.341199
94	identity		-0.488980	-0.488980
95	identity		-0.434264	-0.434264
96	identity		-0.495309	-0.495309
97	signed_cbrt		-0.083421	-0.117890
98	identity		-0.189877	-0.189877
99	signed_cbrt		-0.149742	-0.159706
100	signed_cbrt		-0.016636	-0.162375
101	identity		0.077207	0.077207
102	identity		0.070235	0.070235
103	signed_cbrt		-0.119581	-0.180332
104	identity		0.085949	0.085949
105	identity		0.067423	0.067423
106	identity		0.079990	0.079990
107	identity		0.114066	0.114066
108	identity		0.100722	0.100722
109	identity		0.107296	0.107296
110	identity		-0.179683	-0.179683
111	identity		-0.193371	-0.193371
112	identity		-0.192534	-0.192534
113	identity		0.155862	0.155862
114	signed_cbrt		0.006235	0.149300
115	identity		-0.088326	-0.088326
116	log1p		-0.006822	0.056464
117	identity		0.087198	0.087198
118	identity		0.074391	0.074391
119	identity		0.083492	0.083492
120	identity		0.091672	0.091672
121	identity		0.071909	0.071909
122	identity		0.078865	0.078865
123	identity		-0.197564	-0.197564
124	identity		-0.206755	-0.206755
125	identity		-0.203612	-0.203612
