feat_idx	best_transform	params_csv
0	identity	
1	identity	
2	identity	
3	identity	
4	identity	
5	identity	
6	identity	
7	identity	
8	identity	
9	winsor_p99	4.04794e-07,4.9929e-05
10	identity	
11	identity	
12	winsor_p99	0.0,0.318713
13	identity	
14	identity	
15	identity	
16	identity	
17	identity	
18	identity	
19	identity	
20	identity	
21	identity	
22	signed_cbrt	
23	identity	
24	identity	
25	identity	
26	identity	
27	identity	
28	identity	
29	identity	
30	identity	
31	identity	
32	identity	
33	identity	
34	identity	
35	winsor_p99	4.23601e-16,0.000101019
36	identity	
37	identity	
38	signed_cbrt	
39	identity	
40	identity	
41	identity	
42	identity	
43	identity	
44	identity	
45	identity	
46	identity	
47	identity	
48	winsor_p99	4.53039e-15,0.000103628
49	identity	
50	identity	
51	winsor_p99	0.0,0.381636
52	identity	
53	identity	
54	identity	
55	identity	
56	identity	
57	identity	
58	identity	
59	identity	
60	identity	
61	signed_cbrt	
62	identity	
63	identity	
64	winsor_p99	0.0,0.000272277
65	identity	
66	identity	
67	identity	
68	identity	
69	identity	
70	identity	
71	identity	
72	identity	
73	identity	
74	winsor_p99	3.01356e-16,8.6061e-05
75	identity	
76	identity	
77	winsor_p99	0.0,0.285164
78	identity	
79	identity	
80	identity	
81	identity	
82	identity	
83	identity	
84	identity	
85	identity	
86	identity	
87	winsor_p99	1.33566e-15,7.64692e-05
88	identity	
89	identity	
90	winsor_p99	0.0,0.442516
91	signed_cbrt	
92	signed_cbrt	
93	signed_cbrt	
94	identity	
95	winsor_p99	0.000610845,0.0131861
96	winsor_p99	0.000119094,0.0137795
97	identity	
98	identity	
99	identity	
100	winsor_p99	1.46128e-06,0.000106967
101	identity	
102	winsor_p99	0.0,0.0443022
103	winsor_p99	0.0,0.0600395
104	identity	
105	identity	
106	identity	
107	identity	
108	identity	
109	identity	
110	identity	
111	identity	
112	identity	
113	winsor_p99	2.55688e-16,6.55178e-05
114	identity	
115	identity	
116	winsor_p99	0.0,0.329577
117	identity	
118	winsor_p99	1.4128e-05,0.0366709
119	winsor_p99	5.98459e-06,0.0301378
120	identity	
121	identity	
122	identity	
123	identity	
124	identity	
125	identity	
126	winsor_p99	5.45232e-16,5.2143e-05
127	identity	
128	identity	
129	winsor_p99	0.0,0.203516
130	signed_cbrt	
131	signed_cbrt	
132	signed_cbrt	
133	winsor_p99	3.24358e-05,0.00573569
134	winsor_p99	0.000331953,0.00794472
135	winsor_p99	0.000199307,0.00491572
136	identity	
137	signed_cbrt	
138	identity	
139	winsor_p99	4.06965e-07,4.32286e-05
140	identity	
141	winsor_p99	0.0,0.0431522
142	winsor_p99	0.0,0.0740237
143	identity	
144	winsor_p99	3.92265e-05,0.0499891
145	identity	
146	identity	
147	identity	
148	identity	
149	identity	
150	identity	
151	identity	
152	winsor_p99	2.44617e-16,4.53981e-05
153	identity	
154	identity	
155	winsor_p99	0.0,0.163769
156	identity	
157	identity	
158	identity	
159	identity	
160	identity	
161	identity	
162	identity	
163	identity	
164	identity	
165	identity	
166	identity	
167	identity	
168	identity	
169	identity	
170	identity	
171	identity	
172	identity	
173	identity	
174	identity	
175	identity	
176	identity	
177	identity	
178	identity	
179	identity	
180	identity	
181	identity	
182	identity	
183	identity	
184	identity	
185	identity	
186	identity	
187	identity	
188	identity	
189	identity	
190	identity	
191	identity	
192	identity	
193	identity	
194	identity	
195	identity	
196	identity	
197	identity	
198	identity	
199	identity	
200	identity	
201	identity	
202	identity	
203	identity	
204	identity	
205	identity	
206	identity	
207	identity	
208	identity	
209	identity	
210	identity	
211	identity	
212	identity	
213	identity	
214	identity	
215	identity	
216	identity	
217	identity	
218	identity	
219	identity	
220	identity	
221	identity	
222	identity	
223	identity	
224	identity	
225	identity	
226	identity	
227	identity	
228	identity	
229	identity	
230	identity	
231	identity	
232	identity	
233	identity	
234	identity	
235	identity	
236	identity	
237	identity	
238	identity	
239	identity	
240	identity	
241	identity	
242	identity	
243	identity	
244	identity	
245	identity	
246	identity	
247	identity	
248	identity	
249	identity	
250	identity	
251	identity	
252	identity	
253	identity	
254	identity	
255	identity	
256	identity	
257	identity	
258	identity	
259	identity	
260	identity	
261	identity	
262	identity	
263	identity	
264	identity	
265	identity	
266	identity	
267	identity	
268	identity	
269	identity	
270	identity	
271	identity	
272	identity	
273	identity	
274	identity	
275	identity	
276	identity	
277	identity	
278	identity	
279	identity	
280	identity	
281	identity	
282	identity	
283	identity	
284	identity	
285	identity	
286	identity	
287	identity	
288	identity	
289	identity	
290	identity	
291	identity	
292	identity	
293	identity	
294	identity	
295	identity	
296	identity	
297	identity	
298	identity	
299	identity	
300	identity	
301	identity	
302	identity	
303	identity	
304	identity	
305	identity	
306	identity	
307	identity	
